dataset,geojson,v4,v7,fgb
osm_attribute_heavy_100000_few,15137001,8527803,4205637,10745624
osm_attribute_heavy_100000_many,20979806,14465217,10135873,11562464
osm_attribute_heavy_100000_medium,16644344,10078791,5756053,11278968
osm_attribute_heavy_100000_none,12722937,5923550,1602923,9880784
osm_attribute_heavy_10000_few,1488854,830518,426451,1065864
osm_attribute_heavy_10000_many,2069089,1420286,1015585,1149080
osm_attribute_heavy_10000_medium,1642536,989801,585676,1130064
osm_attribute_heavy_10000_none,1240499,561438,157542,966192
osm_attribute_heavy_1000_few,139804,74264,42588,101096
osm_attribute_heavy_1000_many,197190,132542,100802,108488
osm_attribute_heavy_1000_medium,154898,89879,58198,107016
osm_attribute_heavy_1000_none,114244,46627,14970,90256
osm_attribute_heavy_100_few,14328,7703,4253,10768
osm_attribute_heavy_100_many,19959,13423,9965,11432
osm_attribute_heavy_100_medium,15719,9130,5680,11112
osm_attribute_heavy_100_none,11825,5033,1584,9824
osm_attribute_heavy_10_few,1492,823,533,1824
osm_attribute_heavy_10_many,2076,1420,1127,2024
osm_attribute_heavy_10_medium,1652,989,699,1904
osm_attribute_heavy_10_none,1161,462,172,1488
osm_geometry_heavy_100000_few,19204544,12443495,4621116,13642168
osm_geometry_heavy_100000_many,25124415,18480850,10653642,14622416
osm_geometry_heavy_100000_medium,20742748,14030171,6207063,14220712
osm_geometry_heavy_100000_none,16766247,9801865,1982141,12672368
osm_geometry_heavy_10000_few,1729819,1061026,453386,1236584
osm_geometry_heavy_10000_many,2317649,1661895,1054163,1340352
osm_geometry_heavy_10000_medium,1887843,1225335,617562,1306248
osm_geometry_heavy_10000_none,1478700,788317,181051,1128560
osm_geometry_heavy_1000_few,178548,111415,46299,127872
osm_geometry_heavy_1000_many,236597,170549,105418,136528
osm_geometry_heavy_1000_medium,194127,127541,62415,134152
osm_geometry_heavy_1000_none,152939,83734,18649,116960
osm_geometry_heavy_100_few,15487,8819,4454,11672
osm_geometry_heavy_100_many,21242,14714,10341,12672
osm_geometry_heavy_100_medium,16961,10340,5974,12152
osm_geometry_heavy_100_none,12915,6058,1696,10544
osm_geometry_heavy_10_few,1679,1000,547,1936
osm_geometry_heavy_10_many,2248,1583,1128,2144
osm_geometry_heavy_10_medium,1820,1145,692,2000
osm_geometry_heavy_10_none,1352,643,190,1616
osm_mixed_100000_few,24408867,17448127,5115508,17278624
osm_mixed_100000_many,30354123,23527269,11195444,18367840
osm_mixed_100000_medium,25988738,19083199,6749523,17921696
osm_mixed_100000_none,21975663,14801814,2474158,16270776
osm_mixed_10000_few,2028682,1347170,488459,1451128
osm_mixed_10000_many,2629703,1966499,1108426,1586800
osm_mixed_10000_medium,2195187,1521281,662323,1531968
osm_mixed_10000_none,1772576,1068130,210005,1328392
osm_mixed_1000_few,206372,138091,49632,148064
osm_mixed_1000_many,265439,198677,110252,159176
osm_mixed_1000_medium,222510,154855,66378,154936
osm_mixed_1000_none,180351,109838,21432,135560
osm_mixed_100_few,16262,9523,4578,12184
osm_mixed_100_many,22235,15675,10716,13576
osm_mixed_100_medium,17942,11268,6322,12992
osm_mixed_100_none,13664,6728,1788,11000
osm_mixed_10_few,1728,1042,550,1952
osm_mixed_10_many,2286,1616,1122,2160
osm_mixed_10_medium,1854,1170,678,2000
osm_mixed_10_none,1405,689,197,1632
